1,Hlavní město Praha,3018
2,Středočeský kraj,3026
3,Jihočeský kraj,3034
4,Plzeňský kraj,3042
5,Karlovarský kraj,3051
6,Ústecký kraj,3069
7,Liberecký kraj,3077
8,Královéhradecký kraj,3085
9,Pardubický kraj,3093
10,Kraj Vysočina,3107
11,Jihomoravský kraj,3115
12,Olomoucký kraj,3123
13,Zlínský kraj,3131
14,Moravskoslezský kraj,3140
